44.87,38.16
38.42,36.78
42.60,33.10
45.23,37.72
40.96,39.25
44.39,33.82
39.03,38.85
43.40,36.70
39.48,37.37
40.13,41.75
36.70,43.43
42.70,41.51
42.70,37.95
39.63,37.19
39.20,41.59
37.93,38.81
37.94,37.46
37.99,39.96
36.65,40.70
44.98,42.23
39.42,37.34
37.76,45.08
40.15,38.09
40.57,46.30
40.36,41.85
40.90,38.94
36.57,38.95
39.37,41.76
42.52,42.79
40.86,42.66
37.74,43.76
41.54,39.11
41.47,39.77
43.39,44.56
46.56,35.81
35.67,38.49
40.48,42.63
40.95,33.93
39.08,42.48
40.69,42.29
39.33,39.40
40.56,41.23
40.59,40.36
37.99,41.13
40.37,43.39
43.60,40.56
38.87,38.08
41.27,40.23
38.97,40.13
38.14,42.09
38.66,43.67
41.21,41.78
36.72,40.51
42.22,37.14
39.20,40.10
35.88,40.95
42.54,37.42
41.05,36.06
39.88,35.15
43.36,41.23
39.93,37.67
43.82,45.90
34.43,43.71
44.88,41.01
36.40,42.59
39.46,38.19
36.31,41.65
42.38,38.13
41.56,36.57
42.41,40.14
39.44,39.69
42.61,42.25
41.59,40.41
40.23,41.86
40.70,42.05
39.07,32.70
43.12,46.56
41.32,39.70
39.59,39.64
40.05,36.63
38.45,37.01
40.75,39.11
41.49,39.48
42.96,40.64
46.57,34.31
38.06,42.70
47.58,39.25
40.13,39.32
43.99,39.14
42.04,39.04
36.18,40.94
41.51,43.88
39.67,38.15
41.69,40.72
40.84,39.78
43.48,41.11
45.71,43.33
41.98,35.12
41.81,41.26
42.43,43.13
48.61,47.85
48.05,51.77
45.39,38.90
44.28,41.92
46.12,51.78
48.87,40.35
53.86,42.97
45.72,48.03
52.16,43.49
54.88,45.45
55.60,46.74
55.40,45.38
45.77,53.48
48.11,44.31
47.57,44.30
50.84,45.70
52.29,51.21
49.58,40.73
45.90,42.69
44.20,47.86
48.27,43.92
49.99,40.16
47.02,47.34
52.14,43.46
56.27,40.48
48.80,44.20
40.32,51.71
51.27,41.38
57.11,47.03
51.49,42.90
50.37,39.71
52.75,43.70
50.46,49.16
50.99,45.91
50.96,42.46
52.90,50.35
52.63,48.07
46.96,41.99
45.01,49.27
49.12,49.85
47.29,43.48
50.33,48.19
50.21,45.73
50.06,45.61
46.13,45.28
49.35,44.80
51.71,42.64
49.71,43.97
51.45,47.72
46.69,47.03
57.16,39.90
47.12,41.95
49.03,50.62
50.05,42.59
52.15,42.92
53.89,46.06
54.81,42.71
60.50,47.86
52.27,44.82
47.49,41.99
49.53,42.24
50.98,42.14
52.15,48.31
47.55,49.13
49.18,49.00
51.52,48.89
46.55,44.63
55.03,42.86
42.94,38.27
41.32,37.68
48.57,49.43
48.47,46.12
49.62,45.03
49.42,44.40
51.60,40.93
53.50,48.19
49.32,47.79
47.57,43.14
50.54,44.34
48.45,42.67
48.07,48.25
43.27,46.22
49.18,47.52
51.78,35.36
52.03,46.12
50.08,43.38
52.96,43.57
56.36,46.96
57.41,42.28
43.92,47.48
52.95,45.12
44.67,43.45
52.14,44.36
49.60,44.39
46.76,43.15
45.06,51.12
48.35,46.65
46.46,47.75
43.51,48.19
49.88,52.31
55.47,60.26
61.27,64.27
58.54,60.30
52.58,57.12
61.56,63.82
59.02,67.12
66.10,59.79
51.64,53.84
57.31,63.87
61.07,52.75
59.21,65.59
58.70,57.40
67.12,60.19
58.34,61.21
60.06,58.51
64.19,63.86
62.91,59.64
63.97,59.83
61.62,63.58
62.80,66.20
61.56,54.17
55.98,64.68
58.85,61.34
57.05,63.47
58.67,65.05
58.16,63.87
62.34,57.50
63.81,56.88
57.15,62.50
57.83,57.94
58.81,56.54
63.62,62.11
59.76,59.62
61.56,66.12
63.02,58.24
62.69,59.59
59.31,66.47
58.55,58.34
53.24,55.14
61.56,57.59
61.79,56.14
57.34,62.34
65.06,62.05
64.15,65.90
63.60,56.82
59.64,62.18
58.56,61.57
54.53,57.13
61.83,52.25
56.16,59.94
54.04,60.20
57.23,58.99
59.10,60.66
58.05,60.31
57.92,61.93
65.87,60.68
60.59,55.97
62.40,57.37
57.20,61.93
60.63,63.84
65.00,58.13
60.44,66.10
63.35,62.47
64.52,57.91
62.21,64.88
65.62,57.21
59.13,61.33
59.00,58.64
62.37,58.78
53.81,61.25
58.53,57.47
54.58,63.51
52.29,54.11
59.04,64.26
64.54,56.00
59.38,54.77
63.50,54.89
59.50,63.58
59.23,65.09
56.99,61.28
62.96,59.52
64.80,61.90
54.33,73.71
62.25,60.37
55.15,60.28
58.41,62.23
61.29,66.42
60.49,61.78
61.29,59.49
59.36,63.81
62.70,57.82
56.14,59.77
64.02,59.90
66.05,57.32
60.49,51.28
57.94,58.93
61.77,65.93
60.12,65.04
62.29,63.42
58.39,64.80
66.78,69.49
67.14,66.45
65.62,66.45
71.05,67.79
65.96,72.41
71.01,71.02
72.36,66.01
64.16,65.25
73.68,64.84
72.45,66.16
71.18,62.53
73.50,67.88
72.66,68.57
72.39,67.69
72.23,63.47
66.76,70.18
69.88,67.31
69.46,69.51
68.22,69.53
67.25,66.78
72.95,71.21
66.71,70.52
66.88,70.20
64.30,64.65
68.47,67.50
74.27,70.71
74.73,71.62
69.15,67.20
73.21,68.12
69.53,63.99
69.68,59.63
68.63,65.06
72.08,66.56
69.01,72.04
66.85,68.95
64.31,68.27
71.23,70.58
67.30,68.96
70.95,67.94
70.45,69.39
71.19,65.01
66.41,75.52
75.76,63.82
71.35,69.88
72.25,68.42
67.22,67.45
68.53,68.40
69.19,67.60
73.06,71.69
66.46,66.62
67.63,71.67
69.82,72.35
68.57,68.08
65.95,71.91
68.91,63.54
